Rank,Country,Capital,Continent,Year,Population,Area,Growth_rate,GDP
139,Jamaica,Kingston,North America,2010,2733896,10991,0.046585547,13220556883
11,Japan,Tokyo,Asia,2010,128105431,377930,0.010264435,5.75907E+12
195,Jersey,Saint Helier,Europe,2010,96151,116,0.115544366,#N/A
83,Jordan,Amman,Asia,2010,6931258,89342,0.37085037,27133804225
66,Kazakhstan,Nursultan,Asia,2010,16627837,2724900,0.091333742,1.48047E+11
27,Kenya,Nairobi,Africa,2010,41517895,580367,0.345728809,45405587557
192,Kiribati,Tarawa,Oceania,2010,107995,811,0.215803931,156120439.3
129,Kuwait,Kuwait City,Asia,2010,2943356,17818,0.52119204,1.15419E+11
110,Kyrgyzstan,Bishkek,Asia,2010,5483774,199951,0.111159426,4794357795
103,Laos,Vientiane,Asia,2010,6323418,236800,0.164350794,7131773633
151,Latvia,Riga,Europe,2010,2101530,64559,-0.121628569,23956163077
119,Lebanon,Beirut,Asia,2010,4995800,10452,0.156263352,38443907042
147,Lesotho,Maseru,Africa,2010,2022747,30355,0.012066766,2234731974
121,Liberia,Monrovia,Africa,2010,4019956,111369,0.388478404,1998000000
107,Libya,Tripoli,Africa,2010,6491988,1759540,0.259408822,74773444901
216,Liechtenstein,Vaduz,Europe,2010,35926,160,0.087809605,5082366478
141,Lithuania,Vilnius,Europe,2010,3139019,65300,-0.127962347,37128694028
168,Luxembourg,Luxembourg,Europe,2010,507070,2586,0.163997723,56159192758
167,Macau,Concelho de Macau,Asia,2010,557297,30,0.290349992,28241858489
50,Madagascar,Antananarivo,Africa,2010,21731053,587041,0.340063853,9982711338
62,Malawi,Lilongwe,Africa,2010,14718422,118484,0.31070574,6959655571
45,Malaysia,Kuala Lumpur,Asia,2010,28717731,330803,0.25158175,2.55017E+11
174,Maldives,Malé,Asia,2010,361575,300,0.279879791,2588176055
59,Mali,Bamako,Africa,2010,15529181,1240192,0.381710245,10689167195
173,Malta,Valletta,Europe,2010,418755,316,0.048953939,9035932122
215,Marshall Islands,Majuro,Oceania,2010,53416,181,-0.014901151,160407100
180,Martinique,Fort-de-France,North America,2010,392181,1128,-0.093313266,#N/A
126,Mauritania,Nouakchott,Africa,2010,3419461,1030700,0.268815285,5628882266
157,Mauritius,Port Louis,Africa,2010,1283330,2040,0.055430822,10003670690
182,Mayotte,Mamoudzou,Africa,2010,211786,374,0.330188738,#N/A
10,Mexico,Mexico City,North America,2010,112532401,1964375,0.149774634,1.0578E+12
194,Micronesia,Palikir,Oceania,2010,107588,702,-0.036890492,296944100
135,Moldova,Chisinau,Europe,2010,3678186,33846,-0.134864672,6974960345
217,Monaco,Monaco,Europe,2010,33178,2,0.021962113,5367625613
134,Mongolia,Ulaanbaatar,Asia,2010,2702520,1564110,0.102628786,7189481824
169,Montenegro,Podgorica,Europe,2010,631044,13812,-0.003600053,4143033276
230,Montserrat,Brades,North America,2010,4938,102,-0.038925652,#N/A
40,Morocco,Rabat,Africa,2010,32464865,446550,0.136947299,93216746662
48,Mozambique,Maputo,Africa,2010,23073723,801590,0.298574247,11104648673
26,Myanmar,Nay Pyi Taw,Asia,2010,49390988,676578,0.084602484,37796052939
145,Namibia,Windhoek,Africa,2010,2099271,825615,0.153990262,11431334447
225,Nauru,Yaren,Oceania,2010,10241,21,-0.013105907,47564520.39
49,Nepal,Kathmandu,Asia,2010,27161567,147181,0.10594951,16002656434
71,Netherlands,Amsterdam,Europe,2010,16617116,41850,0.045158494,8.46555E+11
185,New Caledonia,Nouméa,Oceania,2010,261426,18575,0.180055702,9364350065
123,New Zealand,Wellington,Oceania,2010,4346338,270467,0.127376944,1.46518E+11
106,Nicaragua,Managua,North America,2010,5855734,130373,0.142978774,8758592272
54,Niger,Niamey,Africa,2010,16647543,1267000,0.432334409,7851191899
6,Nigeria,Abuja,Africa,2010,160952853,923768,0.310136375,3.61457E+11
232,Niue,Alofi,Oceania,2010,1812,260,-0.12632594,#N/A
56,North Korea,Pyongyang,Asia,2010,24686435,120538,0.056463075,0
150,North Macedonia,Skopje,Europe,2010,2093828,25713,0.027425788,9407168702
210,Northern Mariana Islands,Saipan,Oceania,2010,54087,464,-0.326756952,#N/A
120,Norway,Oslo,Europe,2010,4889741,323802,0.088737714,4.28757E+11
127,Oman,Muscat,Asia,2010,2881914,309500,0.229352804,64993498049
5,Pakistan,Islamabad,Asia,2010,194454498,881912,0.259665698,1.77166E+11
222,Palau,Ngerulmud,Oceania,2010,18540,459,-0.060123695,185943000
122,Palestine,Ramallah,Asia,2010,3992278,6220,0.271444741,9681500000
128,Panama,Panama City,North America,2010,3623617,75417,0.207175793,29440287581
93,Papua New Guinea,Port Moresby,Oceania,2010,7583269,462840,0.376699368,14250755231
109,Paraguay,Asunción,South America,2010,5768613,406752,0.125842462,27237782850
44,Peru,Lima,South America,2010,29229572,1285216,0.096611788,1.47529E+11
13,Philippines,Manila,Asia,2010,94636700,342353,0.213941216,2.08369E+11
37,Poland,Warsaw,Europe,2010,38597353,312679,0.002413281,4.79834E+11
92,Portugal,Lisbon,Europe,2010,10588401,92090,0.027937622,2.37881E+11
136,Puerto Rico,San Juan,North America,2010,3717922,8870,-0.028529636,98381300000
143,Qatar,Doha,Asia,2010,1713504,11586,1.652741676,1.25122E+11
114,Congo,Brazzaville,Africa,2010,4437884,342000,0.416031116,13135580695
161,Reunion,Saint-Denis,Africa,2010,890130,2511,0.133311434,#N/A
64,Romania,Bucharest,Europe,2010,20335211,238391,-0.07229352,1.66309E+11
9,Russia,Moscow,Europe,2010,143242599,17098242,-0.024530927,1.52492E+12
76,Rwanda,Kigali,Africa,2010,10309031,26338,0.271152279,6121234529
228,Saint Barthelemy,Gustavia,North America,2010,8988,21,0.269133013,#N/A
211,Saint Kitts and Nevis,Basseterre,North America,2010,47403,261,0.042717934,760170370.4
190,Saint Lucia,Castries,North America,2010,170935,616,0.07169279,1486758037
220,Saint Martin,Marigot,North America,2010,36458,53,0.231273219,0
229,Saint Pierre and Miquelon,Saint-Pierre,North America,2010,6052,242,-0.035384125,#N/A
199,Saint Vincent and the Grenadines,Kingstown,North America,2010,109308,389,-0.039582473,681225925.9
188,Samoa,Apia,Oceania,2010,194672,2842,0.057954002,663155955
218,San Marino,San Marino,Europe,2010,31608,61,0.178391679,1881214371
187,Sao Tome and Principe,São Tomé,Africa,2010,182138,964,0.267364349,196652514.3
41,Saudi Arabia,Riyadh,Asia,2010,29411929,2149690,0.36498801,5.28207E+11
72,Senegal,Dakar,Africa,2010,12530121,196722,0.291194397,16121314671
105,Serbia,Belgrade,Europe,2010,7653748,88361,-0.035447161,41819468692
196,Seychelles,Victoria,Africa,2010,92409,452,0.154246815,969936525.3
102,Sierra Leone,Freetown,Africa,2010,6436698,71740,0.404145707,2578026297
113,Singapore,Singapore,Asia,2010,5163590,710,0.273827574,2.39809E+11
214,Sint Maarten,Philipsburg,North America,2010,33034,34,0.083472728,0
116,Slovakia,Bratislava,Europe,2010,5396424,49037,0.003670288,90712671901
148,Slovenia,Ljubljana,Europe,2010,2057286,20273,0.03676136,48161250405
166,Solomon Islands,Honiara,Oceania,2010,540394,28896,0.256794534,846797693.6
70,Somaliland,Mogadishu,Africa,2010,12026649,637657,0.378971193,0
24,South Africa,Pretoria,Africa,2010,51784921,1221037,0.10620184,4.17365E+11
29,South Korea,Seoul,Asia,2010,48813042,100210,0.043268048,1.14407E+12
86,S. Sudan,Juba,Africa,2010,9714419,619745,0.588766755,14602072411
30,Spain,Madrid,Europe,2010,46572772,505992,0.143124318,1.42072E+12
61,Sri Lanka,Colombo,Asia,2010,20668557,65610,0.100774852,56725749222
32,Sudan,Khartoum,Africa,2010,33739933,1886068,0.282947041,58962978034
170,Suriname,Paramaribo,South America,2010,546080,163820,0.140046514,4368398048
87,Sweden,Stockholm,Europe,2010,9381729,450295,0.057567752,4.95813E+11
101,Switzerland,Bern,Europe,2010,7822435,41284,0.089163289,6.03434E+11
60,Syria,Damascus,Asia,2010,22337563,185180,0.369759439,2.52518E+11
57,Taiwan,Taipei,Asia,2010,23083083,36193,0.040025356,#N/A
95,Tajikistan,Dushanbe,Asia,2010,7621779,143100,0.215013778,5642178580
22,Tanzania,Dodoma,Africa,2010,45110527,945087,0.308928576,32014249841
20,Thailand,Bangkok,Asia,2010,68270489,513120,0.082514132,3.41105E+11
155,Timor-Leste,Dili,Asia,2010,1088486,14874,0.239225375,881827800
100,Togo,Lomé,Africa,2010,6571855,56785,0.312262195,3429461495
233,Tokelau,Nukunonu,Oceania,2010,1367,12,-0.179471789,#N/A
197,Tonga,Nuku‘alofa,Oceania,2010,107383,747,0.046587332,366840012.4
153,Trinidad and Tobago,Port-of-Spain,North America,2010,1410296,5130,0.058619445,22157948396
79,Tunisia,Tunis,Africa,2010,10895063,163610,0.101254928,46206331261
18,Turkey,Ankara,Asia,2010,73195345,783562,0.141651779,7.76993E+11
111,Turkmenistan,Ashgabat,Asia,2010,5267970,488100,0.15294765,22583157895
212,Turks and Caicos Islands,Cockburn Town,North America,2010,29726,948,0.585894153,686787810
227,Tuvalu,Funafuti,Oceania,2010,10550,26,0.094625441,31823518.62
31,Uganda,Kampala,Africa,2010,32341728,241550,0.346410889,26673441667
38,Ukraine,Kiev,Europe,2010,45683020,603500,-0.06539998,1.4121E+11
97,United Arab Emirates,Abu Dhabi,Asia,2010,8481771,83600,1.589590432,2.89787E+11
21,United Kingdom,London,Europe,2010,62760039,242900,0.066439985,2.49111E+12
3,United States of America,"Washington, D.C.",North America,2010,311182845,9372610,0.101927898,1.49921E+13
200,United States Virgin Islands,Charlotte Amalie,North America,2010,106142,347,-0.018884319,4324000000
133,Uruguay,Montevideo,South America,2010,3352651,181034,0.018354462,40284481652
43,Uzbekistan,Tashkent,Asia,2010,28614227,447400,0.147987603,49765676402
181,Vanuatu,Port-Vila,Oceania,2010,245453,12189,0.277908514,670713208.1
234,Vatican City,Vatican City,Europe,2010,596,1,-0.084485407,#N/A
51,Venezuela,Caracas,South America,2010,28715022,916445,0.175509275,3.93192E+11
16,Vietnam,Hanoi,Asia,2010,87411012,331212,0.106452512,1.15932E+11
226,Wallis and Futuna,Mata-Utu,Oceania,2010,13142,142,-0.107383006,#N/A
172,W. Sahara,El Aaiún,Africa,2010,413296,266000,0.528602866,#N/A
46,Yemen,Sanaa,Asia,2010,24743946,527968,0.328270142,30906749533
63,Zambia,Lusaka,Africa,2010,13792086,752612,0.394388471,20265559484
74,Zimbabwe,Harare,Africa,2010,12839771,390757,0.084927969,12041655200
36,Afghanistan,Kabul,Asia,2000,19542982,652230,0.82733565,0
138,Albania,Tirana,Europe,2000,3182021,28748,-0.034307355,3480355258
34,Algeria,Algiers,Africa,2000,30774621,2381741,0.205993093,54790392746
213,American Samoa,Pago Pago,Oceania,2000,58230,199,0.217742273,0
203,Andorra,Andorra la Vella,Europe,2000,66097,468,0.233866602,1429049198
42,Angola,Luanda,Africa,2000,16394062,1246700,0.385963625,9129634978
224,Anguilla,The Valley,North America,2000,11047,91,0.328403078,#N/A
201,Antigua and Barbuda,Saint John’s,North America,2000,75055,442,0.185178752,826370370.4
33,Argentina,Buenos Aires,South America,2000,37070774,2780400,0.135828286,2.84204E+11
140,Armenia,Yerevan,Asia,2000,3168523,29743,-0.109099324,1911563669
198,Aruba,Oranjestad,North America,2000,89101,180,0.355931945,1873452514
55,Australia,Canberra,Oceania,2000,19017963,7692024,0.11555371,4.15576E+11
99,Austria,Vienna,Europe,2000,8010428,83871,0.043197123,1.968E+11
91,Azerbaijan,Baku,Asia,2000,8190337,86600,0.102654528,5272798391
176,Bahamas,Nassau,North America,2000,325014,13943,0.200735927,8076470000
154,Bahrain,Manama,Asia,2000,711442,765,0.374985022,9062898936
8,Bangladesh,Dhaka,Asia,2000,129193327,147570,0.205750437,53369787319
186,Barbados,Bridgetown,North America,2000,264657,430,0.022362749,3059500000
96,Belarus,Minsk,Europe,2000,10256483,207600,-0.016497252,12738912134
81,Belgium,Brussels,Europe,2000,10264343,30528,0.030602055,2.36205E+11
177,Belize,Belmopan,North America,2000,240406,22966,0.316651058,832072450
77,Benin,Porto-Novo,Africa,2000,6998023,112622,0.363228484,3519991326
206,Bermuda,Hamilton,North America,2000,61371,54,0.067878893,3480219000
165,Bhutan,Thimphu,Asia,2000,587207,38394,0.051509378,424464089.9
80,Bolivia,Sucre,South America,2000,8592656,1098581,0.210882341,8397912509
137,Bosnia and Herzegovina,Sarajevo,Europe,2000,4179350,51209,-0.070079723,5567405599
144,Botswana,Gaborone,Africa,2000,1726985,582000,0.28737866,5788329609
7,Brazil,Brasilia,South America,2000,175873720,8515767,0.166995339,6.55448E+11
221,British Virgin Islands,Road Town,North America,2000,20104,151,0.287315105,0
175,Brunei,Bandar Seri Begawan,Asia,2000,333926,5765,0.274877065,6001153306
108,Bulgaria,Sofia,Europe,2000,8097691,110879,-0.076426091,13245833844
58,Burkina Faso,Ouagadougou,Africa,2000,11882888,272967,0.301327152,2968369991
78,Burundi,Bujumbura,Africa,2000,6307659,27834,0.150236524,870486065.9
73,Cambodia,Phnom Penh,Asia,2000,12118841,181035,0.360015949,3654031716
53,Cameroon,Yaounde,Africa,2000,15091594,475442,0.320289366,10566578953
39,Canada,Ottawa,North America,2000,30683313,9984670,0.109414856,7.44773E+11
171,Cape Verde,Praia,Africa,2000,458251,4033,0.256987133,539227277.6
205,Cayman Islands,George Town,North America,2000,39658,264,0.523725362,0
117,Central African Rep.,Bangui,Africa,2000,3759170,622984,0.338153887,914500299.1
69,Chad,N'Djamena,Africa,2000,8259137,1284000,0.417374155,1388506727
65,Chile,Santiago,South America,2000,15351799,756102,0.150562158,77860932152
1,China,Beijing,Asia,2000,1264099069,9706961,0.095687276,1.21135E+12
28,Colombia,Bogota,South America,2000,39215135,1141748,0.202866853,99886577331
163,Comoros,Moroni,Africa,2000,536758,1862,0.245034434,351136568.4
223,Cook Islands,Avarua,Oceania,2000,15897,236,-0.071599603,#N/A
124,Costa Rica,San José,North America,2000,3979193,51100,0.259934844,15013629659
130,Croatia,Zagreb,Europe,2000,4548434,56594,-0.066740368,21839780971
85,Cuba,Havana,North America,2000,11105791,109884,0.045085671,30565400000
189,Curacao,Willemstad,North America,2000,141424,444,-0.090204959,0
158,Cyprus,Nicosia,Europe,2000,948237,9251,0.202583386,9985844486
88,Czechia,Prague,Europe,2000,10234710,78865,-0.006453816,61828166496
115,Denmark,Copenhagen,Europe,2000,5340655,43094,0.03810425,1.64159E+11
160,Djibouti,Djibouti,Africa,2000,742033,23200,0.285633597,551230861.9
204,Dominica,Roseau,North America,2000,68346,751,-0.016335401,333470370.4
84,Dominican Republic,Santo Domingo,North America,2000,8540791,48671,0.198034256,24305717542
15,Dem. Rep. Congo,Kinshasa,Africa,2000,48616317,2344858,0.350920781,19088046306
67,Ecuador,Quito,South America,2000,12626507,276841,0.208297029,18327764882
14,Egypt,Cairo,Africa,2000,71371371,1002450,0.247432186,99838543960
112,El Salvador,San Salvador,North America,2000,5958482,21041,0.110170166,11784927700
152,Eq. Guinea,Malabo,Africa,2000,684977,28051,0.471331697,1045998496
132,Eritrea,Asmara,Africa,2000,2392880,117600,0.112988149,706370815.6
156,Estonia,Tallinn,Europe,2000,1396877,45227,-0.110651224,5686579748
159,eSwatini,Mbabane,Africa,2000,1030496,17364,0.206654247,1738100853
12,Ethiopia,Addis Ababa,Africa,2000,67031867,1104300,0.400053569,8242392104
231,Falkland Islands,Stanley,South America,2000,3080,12173,0.320754717,#N/A
209,Faroe Islands,Tórshavn,Europe,2000,45660,1393,-0.038311675,1058702725
162,Fiji,Suva,Oceania,2000,832509,18272,0.066731161,1678239218
118,Finland,Helsinki,Europe,2000,5176209,338424,0.038035153,1.25707E+11
23,France,Paris,Europe,2000,58665453,551695,0.039929805,1.36225E+12
184,French Guiana,Cayenne,South America,2000,164351,83534,0.44254856,#N/A
183,French Polynesia,Papeete,Oceania,2000,250927,4167,0.188726082,3447543203
146,Gabon,Libreville,Africa,2000,1272935,267668,0.294912251,5080483464
142,Gambia,Banjul,Africa,2000,1437539,10689,0.381430806,782915402.4
131,Georgia,Tbilisi,Asia,2000,4265172,69700,-0.208928051,3057475335
19,Germany,Berlin,Europe,2000,81551677,357114,0.027484889,1.94315E+12
47,Ghana,Accra,Africa,2000,19665502,238533,0.273096712,4983024408
219,Gibraltar,Gibraltar,Europe,2000,27741,6,0.01552147,0
90,Greece,Athens,Europe,2000,11038109,131990,0.071426498,1.30134E+11
208,Greenland,Nuuk,North America,2000,56184,2166086,0.010521772,1068030830
193,Grenada,Saint George's,North America,2000,107432,344,0.084656779,520044370.4
178,Guadeloupe,Basse-Terre,North America,2000,424067,1628,0.081938814,#N/A
191,Guam,Hagåtña,Oceania,2000,160188,549,0.158574601,0
68,Guatemala,Guatemala City,North America,2000,11735894,108889,0.291819285,19288827159
207,Guernsey,Saint Peter Port,Europe,2000,59114,78,0.024026885,#N/A
75,Guinea,Conakry,Africa,2000,8336967,245857,0.312051739,2995361141
149,Guinea-Bissau,Bissau,Africa,2000,1230849,36125,0.264288157,371095510
164,Guyana,Georgetown,South America,2000,759051,214969,0.015974762,712667896.7
82,Haiti,Port-au-Prince,North America,2000,8360225,27750,0.207195006,6813577558
89,Honduras,Tegucigalpa,North America,2000,6656725,112492,0.31731976,7103826902
104,Hong Kong,Hong Kong,Asia,2000,6731195,1104,0.152883392,1.71668E+11
94,Hungary,Budapest,Europe,2000,10202055,93028,-0.016763125,47218405892
179,Iceland,Reykjavík,Europe,2000,281462,103000,0.103690313,9025660362
2,India,New Delhi,Asia,2000,1059633675,3287590,0.217337055,4.68395E+11
4,Indonesia,Jakarta,Asia,2000,214072421,1904569,0.175189773,1.65021E+11
17,Iran,Tehran,Asia,2000,65544383,1648195,0.174764649,1.09592E+11
35,Iraq,Baghdad,Asia,2000,24628858,438317,0.394740435,48364250944
125,Ireland,Dublin,Europe,2000,3768950,70273,0.081361713,99958806891
202,Isle of Man,Douglas,Europe,2000,75562,572,0.097248239,1563667800
98,Israel,Jerusalem,Asia,2000,6116958,20770,0.273502921,1.32456E+11
25,Italy,Rome,Europe,2000,56966397,301336,0.003697123,1.14383E+12
52,Côte d'Ivoire,Yamoussoukro,Africa,2000,16799670,322463,0.410487686,16577533355
139,Jamaica,Kingston,North America,2000,2612205,10991,0.09204525,9005064475
11,Japan,Tokyo,Asia,2000,126803861,377930,0.025205212,4.96836E+12
195,Jersey,Saint Helier,Europe,2000,86192,116,0.040036682,#N/A
83,Jordan,Amman,Asia,2000,5056174,89342,0.452678528,8460424401
66,Kazakhstan,Nursultan,Asia,2000,15236253,2724900,-0.09665929,18291994909
27,Kenya,Nairobi,Africa,2000,30851606,580367,0.331976846,12705357103
192,Kiribati,Tarawa,Oceania,2000,88826,811,0.182391779,67254174.4
129,Kuwait,Kuwait City,Asia,2000,1934901,17818,0.155207536,37712842243
110,Kyrgyzstan,Bishkek,Asia,2000,4935182,199951,0.122976271,1369688498
103,Laos,Vientiane,Asia,2000,5430853,236800,0.258761096,1731198022
151,Latvia,Riga,Europe,2000,2392530,64559,-0.110382239,7958852839
119,Lebanon,Beirut,Asia,2000,4320642,10452,0.202282327,17260364842
147,Lesotho,Maseru,Africa,2000,1998630,30355,0.110969057,887295267.9
121,Liberia,Monrovia,Africa,2000,2895224,111369,0.310215587,874000000
107,Libya,Tripoli,Africa,2000,5154790,1759540,0.216618051,38270206950
216,Liechtenstein,Vaduz,Europe,2000,33026,160,0.14813141,2483953103
141,Lithuania,Vilnius,Europe,2000,3599637,65300,-0.049185823,11524776867
168,Luxembourg,Luxembourg,Europe,2000,435628,2586,0.142579872,21177470978
167,Macau,Concelho de Macau,Asia,2000,431896,30,0.23318876,6774193548
50,Madagascar,Antananarivo,Africa,2000,16216431,587041,0.364702163,4629247091
62,Malawi,Lilongwe,Africa,2000,11229387,118484,0.177125926,1743506531
45,Malaysia,Kuala Lumpur,Asia,2000,22945150,330803,0.309874937,93789736842
174,Maldives,Malé,Asia,2000,282507,300,0.255826669,624337145.3
59,Mali,Bamako,Africa,2000,11239101,1240192,0.25646376,2961476518
173,Malta,Valletta,Europe,2000,399212,316,0.092558129,4069515579
215,Marshall Islands,Majuro,Oceania,2000,54224,181,0.17757943,115347500
180,Martinique,Fort-de-France,North America,2000,432543,1128,0.15569467,#N/A
126,Mauritania,Nouakchott,Africa,2000,2695003,1030700,0.343453004,1779523344
157,Mauritius,Port Louis,Africa,2000,1215930,2040,0.115235396,4663313620
182,Mayotte,Mamoudzou,Africa,2000,159215,374,0.718289643,#N/A
10,Mexico,Mexico City,North America,2000,97873442,1964375,0.197661887,7.07907E+11
194,Micronesia,Palikir,Oceania,2000,111709,702,0.132916848,233271800
135,Moldova,Chisinau,Europe,2000,4251573,33846,-0.051030323,1288429392
217,Monaco,Monaco,Europe,2000,32465,2,0.070427644,2647885849
134,Mongolia,Ulaanbaatar,Asia,2000,2450979,1564110,0.133960201,1136896124
169,Montenegro,Podgorica,Europe,2000,633324,13812,0.019120047,984297589.4
230,Montserrat,Brades,North America,2000,5138,102,-0.524479408,#N/A
40,Morocco,Rabat,Africa,2000,28554415,446550,0.162127352,38857251336
48,Mozambique,Maputo,Africa,2000,17768505,801590,0.335630455,5656473652
26,Myanmar,Nay Pyi Taw,Asia,2000,45538332,676578,0.135631911,6849321646
145,Namibia,Windhoek,Africa,2000,1819141,825615,0.328799403,3922247990
225,Nauru,Yaren,Oceania,2000,10377,21,0.081162742,0
49,Nepal,Kathmandu,Asia,2000,24559500,147181,0.251979835,5494252208
71,Netherlands,Amsterdam,Europe,2000,15899135,41850,0.063875267,4.16443E+11
185,New Caledonia,Nouméa,Oceania,2000,221537,18575,0.249757424,3420032042
123,New Zealand,Wellington,Oceania,2000,3855266,270467,0.134773204,52623281957
106,Nicaragua,Managua,North America,2000,5123222,130373,0.211788108,5107329007
54,Niger,Niamey,Africa,2000,11622665,1267000,0.388502585,2241753120
6,Nigeria,Abuja,Africa,2000,122851984,923768,0.290268788,69448756933
232,Niue,Alofi,Oceania,2000,2074,260,-0.181208054,#N/A
56,North Korea,Pyongyang,Asia,2000,23367059,120538,0.123442062,0
150,North Macedonia,Skopje,Europe,2000,2037936,25713,-0.003051599,3772857145
210,Northern Mariana Islands,Saipan,Oceania,2000,80338,464,0.673638598,#N/A
120,Norway,Oslo,Europe,2000,4491202,323802,0.058837203,1.71247E+11
127,Oman,Muscat,Asia,2000,2344253,309500,0.299097712,19507452536
5,Pakistan,Islamabad,Asia,2000,154369924,881912,0.33753125,82017743416
222,Palau,Ngerulmud,Oceania,2000,19726,459,0.289871183,146297500
122,Palestine,Ramallah,Asia,2000,3139954,6220,0.477897345,4313600000
128,Panama,Panama City,North America,2000,3001731,75417,0.225212329,12304115000
93,Papua New Guinea,Port Moresby,Oceania,2000,5508297,462840,0.425184193,3521339699
109,Paraguay,Asunción,South America,2000,5123819,406752,0.262274663,8855705140
44,Peru,Lima,South America,2000,26654439,1285216,0.205586849,51744749133
13,Philippines,Manila,Asia,2000,77958223,342353,0.266400562,83669693589
37,Poland,Warsaw,Europe,2000,38504431,312679,0.011564025,1.72219E+11
92,Portugal,Lisbon,Europe,2000,10300626,92090,0.029306471,1.18311E+11
136,Puerto Rico,San Juan,North America,2000,3827108,8870,0.079952006,61701800000
143,Qatar,Doha,Asia,2000,645937,11586,0.462471274,17759890110
114,Congo,Brazzaville,Africa,2000,3134030,342000,0.313819073,3227927593
161,Reunion,Saint-Denis,Africa,2000,785424,2511,0.191856654,#N/A
64,Romania,Bucharest,Europe,2000,21919876,238391,-0.04012737,37253259017
9,Russia,Moscow,Europe,2000,146844839,17098242,-0.00784338,2.5971E+11
76,Rwanda,Kigali,Africa,2000,8109989,26338,0.107927746,2067528500
228,Saint Barthelemy,Gustavia,North America,2000,7082,21,0.370356037,#N/A
211,Saint Kitts and Nevis,Basseterre,North America,2000,45461,261,0.11873708,421695769.8
190,Saint Lucia,Castries,North America,2000,159500,616,0.120863522,932592592.6
220,Saint Martin,Marigot,North America,2000,29610,53,0.05272514,0
229,Saint Pierre and Miquelon,Saint-Pierre,North America,2000,6274,242,-0.007906388,#N/A
199,Saint Vincent and the Grenadines,Kingstown,North America,2000,113813,389,0.011788029,396262963
188,Samoa,Apia,Oceania,2000,184008,2842,0.094074418,269019710.3
218,San Marino,San Marino,Europe,2000,26823,61,0.159562511,1005159388
187,Sao Tome and Principe,São Tomé,Africa,2000,143714,964,0.194203236,0
41,Saudi Arabia,Riyadh,Asia,2000,21547390,2149690,0.346311095,1.89515E+11
72,Senegal,Dakar,Africa,2000,9704287,196722,0.287723688,6013184809
105,Serbia,Belgrade,Europe,2000,7935022,88361,-0.006573622,6875845987
196,Seychelles,Victoria,Africa,2000,80060,452,0.126701099,614879764.8
102,Sierra Leone,Freetown,Africa,2000,4584067,71740,0.059804808,635874002.2
113,Singapore,Singapore,Asia,2000,4053602,710,0.341271236,96074477958
214,Sint Maarten,Philipsburg,North America,2000,30489,34,0.094954211,0
116,Slovakia,Bratislava,Europe,2000,5376690,49037,0.021930871,29169953013
148,Slovenia,Ljubljana,Europe,2000,1984339,20273,-0.000848429,20289627637
166,Solomon Islands,Honiara,Oceania,2000,429978,28896,0.326392552,419933580.9
70,Somaliland,Mogadishu,Africa,2000,8721465,637657,0.246084494,0
24,South Africa,Pretoria,Africa,2000,46813266,1221037,0.17392474,1.51753E+11
29,South Korea,Seoul,Asia,2000,46788591,100210,0.060483899,5.76178E+11
86,S. Sudan,Juba,Africa,2000,6114440,619745,0.287029157,0
30,Spain,Madrid,Europe,2000,40741651,505992,0.047615513,5.96878E+11
61,Sri Lanka,Colombo,Asia,2000,18776371,65610,0.091389701,16330814180
32,Sudan,Khartoum,Africa,2000,26298773,1886068,0.246925947,12257418326
170,Suriname,Paramaribo,South America,2000,478998,163820,0.160487067,947671969.7
87,Sweden,Stockholm,Europe,2000,8871043,450295,0.037742358,2.62835E+11
101,Switzerland,Bern,Europe,2000,7182059,41284,0.070081573,2.79841E+11
60,Syria,Damascus,Asia,2000,16307654,185180,0.314179971,80590022272
57,Taiwan,Taipei,Asia,2000,22194731,36193,0.078137735,#N/A
